,SKU,price,note,category,brand,platform
8,"XTRA Combo 10GB+20GB, Double Youtube, 30hr",84850,"10GB Kuota Utama + 20GB Kuota Youtube (00:24 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 30 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota (Max. 1GB) dapat digunakan di bulan berikutnya.",Paket Data,Xl,mitra bukalapak
9,"Xtra Edukasi 2GB, 1hr",1938,"Kuota utama 2GB, Dapat digunakan di jaringan 2G/3G/4G dari jam 00.00-24.00 WIB, Kuota dapat digunakan untuk mengakses Rumah Belajar Kemendikbud, Spada Indonesia Kemendikbud, dll.Daftar website dan aplikasi lengkap cek di www.xl.co.id, Masa aktif 1 hari",Paket Data,Xl,mitra bukalapak
12,"Xtra Edukasi 5GB, 3hr",3435,"Kuota utama 5GB, Dapat digunakan di jaringan 2G/3G/4G dari jam 00.00-24.00 WIB, Kuota dapat digunakan untuk mengakses Rumah Belajar Kemendikbud, Spada Indonesia Kemendikbud,dll.Daftar website dan aplikasi lengkap cek di www.xl.co.id, Masa aktif 3 hari",Paket Data,Xl,mitra bukalapak
13,XL Pure 100MB 14 Hari,2890,,Paket Data,Xl,mitra bukalapak
14,XL Pure 500MB 30 hari,9250,,Paket Data,Xl,mitra bukalapak
17,XL Pure 800MB 30 hari,16500,,Paket Data,Xl,mitra bukalapak
18,Xtra Edukasi 15GB 7 Hari,8300,,Paket Data,Xl,mitra bukalapak
19,XL Pure 1GB 30 hari,18000,,Paket Data,Xl,mitra bukalapak
20,Xtra ON 1GB,13940,,Paket Data,Xl,mitra bukalapak
21,XL Pure 2GB 30 hari,33250,,Paket Data,Xl,mitra bukalapak
22,"Xtra Hotrod Special M, 7hr",16750,,Paket Data,Xl,mitra bukalapak
23,"Xtra Hotrod Special L, 7hr",21500,,Paket Data,Xl,mitra bukalapak
26,Xtra ON 2GB,22750,,Paket Data,Xl,mitra bukalapak
27,XL Pure 3GB 30 hari,52000,,Paket Data,Xl,mitra bukalapak
28,"Xtra Hotrod Special XL, 7hr",26500,,Paket Data,Xl,mitra bukalapak
29,Xtra Combo Flex S+ 3GB + Kuota Area Hingga 6GB + Bonus Flex,29000,,Paket Data,Xl,mitra bukalapak
30,Xtra Combo Flex M 4GB + Kuota Area Hingga 9GB + Bonus Flex,38000,,Paket Data,Xl,mitra bukalapak
31,Paket Internet XL HotRod 1.5GB,50000,,Paket Data,Xl,mitra bukalapak
32,HotRod 24 Jam 1.5GB,48885,Kuota Utama 1.5GB (2G/3G/4G). Masa aktif 30 hari.,Paket Data,Xl,mitra bukalapak
33,Xtra Combo Flex L 9GB + Kuota Area Hingga 16GB + Bonus Flex,55000,,Paket Data,Xl,mitra bukalapak
39,XL Pure 4GB 30 Hari,63270,,Paket Data,Xl,mitra bukalapak
40,"XTRA Combo VIP 5GB+10GB, Double Youtube, 30hr",69000,"5GB Kuota Utama + 10GB Kuota Youtube (00:00 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 20 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",Paket Data,Xl,mitra bukalapak
43,XL Pure 5GB 30 Hari,79570,,Paket Data,Xl,mitra bukalapak
44,Xtra Combo Flex XL 15GB + Kuota Area Hingga 30GB + Bonus Flex,82000,,Paket Data,Xl,mitra bukalapak
