,SKU,price,note,category,brand
9,"Xtra Hotrod Special XL, 7hr",29500,Set harga,Paket Data,XL
10,HotRod 24 Jam 800MB,29900,Set harga,Paket Data,XL
11,Xtra Combo Flex S+ 3GB + Kuota Area Hingga 6GB + Bonus Flex,31500,Set harga,Paket Data,XL
5,XL Pure 2GB 30 hari,33250,Set harga,Paket Data,XL
6,"XTRA Bicara Nelpon,SMS,Internet, 30hr",34300,Set harga,Paket Data,XL
7,"AnyNet 150Mnt, 30hr",39200,Set harga,Paket Data,XL
8,Xtra Combo Flex M 4GB + Kuota Area Hingga 9GB + Bonus Flex,41500,Set harga,Paket Data,XL
9,HotRod 24 Jam 1.5GB,48885,Set harga,Paket Data,XL
10,Paket Internet XL HotRod 1.5GB,50000,Set harga,Paket Data,XL
4,XL Pure 3GB 30 hari,52000,Set harga,Paket Data,XL
5,"XTRA Combo 5GB+10GB, Double Youtube, 30hr",56400,Set harga,Paket Data,XL
6,HotRod 24 Jam 3GB,58712,Set harga,Paket Data,XL
7,"AnyNet 250Mnt, 30hr",58800,Set harga,Paket Data,XL
8,"Akrab S, 2 Anggota, 30hr",59400,Set harga,Paket Data,XL
9,Xtra Combo Flex L 9GB + Kuota Area Hingga 16GB + Bonus Flex,62500,Set harga,Paket Data,XL
5,XL Pure 4GB 30 Hari,63270,Set harga,Paket Data,XL
6,"XTRA Combo VIP 5GB+10GB, Double Youtube, 30hr",69000,Set harga,Paket Data,XL
7,"AnyNet 325Mnt, 30hr",73500,Set harga,Paket Data,XL
8,XL Pure 5GB 30 Hari,79570,Set harga,Paket Data,XL
9,"XTRA Combo 10GB+20GB, Double Youtube, 30hr",84850,Set harga,Paket Data,XL
10,XL PASS 1 Days,85000,Set harga,Paket Data,XL
6,Xtra Combo Flex XL 15GB + Kuota Area Hingga 30GB + Bonus Flex,90000,Set harga,Paket Data,XL
7,"AnyNet 300Mnt, 90hr",97900,Set harga,Paket Data,XL
8,HotRod 24Jam 6GB,97900,Set harga,Paket Data,XL
9,"XTRA Combo VIP 10GB+20GB, Double Youtube, 30hr",99000,Set harga,Paket Data,XL
10,Internet Umroh &amp; Haji 1GB+1GB,99000,Set harga,Paket Data,XL
6,Nelpon Umroh &amp; Haji,99000,Set harga,Paket Data,XL
7,XL Pure 6GB 30 hari,103500,Set harga,Paket Data,XL
8,XL Pure 8GB 30 Hari,123500,Set harga,Paket Data,XL
9,Xtra Combo Flex XXL 26GB + Kuota Area Hingga 46GB + Bonus Flex,124000,Set harga,Paket Data,XL
6,"Akrab M, 2 Anggota, 30hr",125000,Set harga,Paket Data,XL
7,HotRod 24Jam 8GB,127895,Set harga,Paket Data,XL
8,"XTRA Combo 15GB+30GB, Double Youtube, 30hr",129000,Set harga,Paket Data,XL
9,"AnyNet 500Mnt, 30hr",137200,Set harga,Paket Data,XL
10,"XTRA Combo VIP 15GB+30GB, Double Youtube, 30hr",139000,Set harga,Paket Data,XL
6,"AnyNet 500Mnt, 90hr",144000,Set harga,Paket Data,XL
7,"Anynet 500 menit, 90 hari",146000,Set harga,Paket Data,XL
8,Nelp &amp; SMS Umroh &amp; Haji 10 Hari,149000,Set harga,Paket Data,XL
9,XL PASS 3 Days,150000,Set harga,Paket Data,XL
6,Xtra Combo Flex XXXL 36GB + Kuota Area Hingga 54GB + Bonus Flex,150000,Set harga,Paket Data,XL
7,XL Roaming Combo 1 Day ,160000,Set harga,Paket Data,XL
8,HotRod 24Jam 12GB,175895,Set harga,Paket Data,XL
9,Nelp &amp; SMS Umroh &amp; Haji 20 Hari,179000,Set harga,Paket Data,XL
10,"XTRA Combo 20GB+40GB, Double Youtube, 30hr",179000,Set harga,Paket Data,XL
6,"XTRA Combo VIP 20GB+40GB, Double Youtube, 30hr",189000,Set harga,Paket Data,XL
7,Internet Umroh &amp; Haji 2GB+2GB,189000,Set harga,Paket Data,XL
8,Internet Umroh &amp; Haji 10 Hari,199000,Set harga,Paket Data,XL
9,Nelp &amp; SMS Umroh &amp; Haji 40 Hari,199000,Set harga,Paket Data,XL
6,"Akrab L, 3 Anggota, 30hr",205000,Set harga,Paket Data,XL
7,HotRod 24Jam 16GB,215000,Set harga,Paket Data,XL
8,XL Roaming Combo 3 Days ,225000,Set harga,Paket Data,XL
9,"XTRA Combo 35GB+70GB, Double Youtube, 30hr",239000,Set harga,Paket Data,XL
10,"XTRA Combo VIP 35GB+70GB, Double Youtube, 30hr",249000,Set harga,Paket Data,XL
6,Internet Umroh &amp; Haji 20 Hari,249000,Set harga,Paket Data,XL
7,XL PASS 7 Days,250000,Set harga,Paket Data,XL
8,Combo Umroh &amp; Haji 10 Hari,299000,Set harga,Paket Data,XL
9,"Akrab XL, 4 Anggota, 30hr",320000,Set harga,Paket Data,XL
10,Internet Umroh &amp; Haji 40 Hari,379000,Set harga,Paket Data,XL
11,Combo Umroh &amp; Haji 20 Hari,399000,Set harga,Paket Data,XL
6,XL Roaming Combo 7 Days ,425000,Set harga,Paket Data,XL
7,Internet Umroh &amp; Haji 5GB+5GB,469000,Set harga,Paket Data,XL
8,"Akrab XXL, 4 Anggota, 30hr",515000,Set harga,Paket Data,XL
9,Combo Umroh &amp; Haji 40 Hari,549000,Set harga,Paket Data,XL
10,XL Roaming Combo 30 Days,825000,Set harga,Paket Data,XL
11,XL PASS 30 Days,950000,Set harga,Paket Data,XL
12,Internet Umroh &amp; Haji 25GB+25GB,999000,Set harga,Paket Data,XL
0,BRONET 24 Jam 1GB 1 Hr + Bonus Lokal Kuota,3640,Set harga,Paket Data,Axis
1,Paket KANGEN 24Jam 30mnt 7hr,8750,Set harga,Paket Data,Axis
2,"Axis Data 500MB, 30 hari",10000,Set harga,Paket Data,Axis
3,"[Parti Day] Bronet 24jam 3GB Nat + 2GB Sosmed/Chat, 3hr",10000,Set harga,Paket Data,Axis
4,AIGO Bronet Mini 1GB 5hr,10090,Set harga,Paket Data,Axis
5,BRONET Mini 1GB 7 hari,12450,Set harga,Paket Data,Axis
6,BRONET Mini 1.5GB 7 hari,14950,Set harga,Paket Data,Axis
6,AIGO Bronet 24Jam 1GB 30hr,16000,Set harga,Paket Data,Axis
7,"Axis Data 800MB, 30 hari",17500,Set harga,Paket Data,Axis
8,AIGO Bronet Mini 2GB 7hr,17830,Set harga,Paket Data,Axis
9,BRONET Mini 2GB 7hr,17900,Set harga,Paket Data,Axis
10,"Axis Data 1GB, 30 hari",18500,Set harga,Paket Data,Axis
11,BRONET Mini 3GB 7 hari,20250,Set harga,Paket Data,Axis
6,AIGO Bronet Mini 3GB 15hr,22190,Set harga,Paket Data,Axis
7,BRONET Mini 5GB 7 hari,23650,Set harga,Paket Data,Axis
8,AIGO Bronet 24Jam 3GB 30hr,25850,Set harga,Paket Data,Axis
9,AIGO Bronet 24Jam 2GB 30hr,25900,Set harga,Paket Data,Axis
10,Paket KANGEN 24Jam 100mnt 30hr,26400,Set harga,Paket Data,Axis
11,"[Parti Day] Bronet 24jam 6GB Nat + 4GB Sosmed/Chat, 10hr",28000,Set harga,Paket Data,Axis
5,BRONET 24Jam 2GB 60hr,29400,Set harga,Paket Data,Axis
6,BRONET Mini 8GB 7 hari,29450,Set harga,Paket Data,Axis
7,AXIS DATA PURE 2GB 60HR,31250,Set harga,Paket Data,Axis
8,"Axis Data 2GB, 30 hari",32050,Set harga,Paket Data,Axis
9,AIGO Bronet 24Jam 5GB 30hr,32850,Set harga,Paket Data,Axis
10,AIGO Bronet Mini 7GB 15hr,34900,Set harga,Paket Data,Axis
11,AIGO Bronet Mini 5GB 15hr,34900,Set harga,Paket Data,Axis
5,"AXIS+ Bronet 24Jam 1GB 30hr, 6bln",36500,Set harga,Paket Data,Axis
6,BRONET 24Jam 3GB 60hr,37000,Set harga,Paket Data,Axis
