iter	Passed	Remaining
836	3661	713
837	3667	709
838	3673	704
839	3676	700
840	3680	695
841	3684	691
842	3687	686
843	3691	682
844	3694	677
845	3698	673
846	3701	668
847	3706	664
848	3709	659
849	3713	655
850	3720	651
851	3723	646
852	3726	642
853	3729	637
854	3736	633
855	3741	629
856	3744	624
857	3750	620
858	3753	616
859	3772	614
860	3788	611
861	3795	607
862	3806	604
863	3819	601
864	3830	597
865	3834	593
866	3840	589
867	3848	585
868	3851	580
869	3854	575
870	3858	571
871	3862	566
872	3865	562
873	3868	557
874	3871	553
875	3874	548
876	3878	543
877	3881	539
878	3884	534
879	3887	530
880	3903	527
881	3907	522
882	3910	518
883	3913	513
884	3917	509
885	3920	504
886	3926	500
887	3929	495
888	3932	490
889	3935	486
890	3939	481
891	3943	477
892	3947	472
893	3951	468
894	3955	464
895	3959	459
896	3961	454
897	3964	450
898	3968	445
899	3971	441
900	3974	436
901	3977	432
902	3979	427
903	3983	422
904	3987	418
905	3991	414
906	3993	409
907	3996	404
908	4000	400
909	4003	395
910	4007	391
911	4011	387
912	4015	382
913	4018	378
914	4022	373
915	4025	369
916	4029	364
917	4032	360
918	4037	355
919	4039	351
920	4041	346
921	4044	342
922	4047	337
923	4051	333
924	4054	328
925	4058	324
926	4061	319
927	4065	315
928	4068	310
929	4072	306
930	4076	302
931	4078	297
932	4081	293
933	4085	288
934	4089	284
935	4093	279
936	4096	275
937	4098	270
938	4101	266
939	4104	262
940	4107	257
941	4110	253
942	4117	248
943	4121	244
944	4123	240
945	4133	235
946	4137	231
947	4140	227
948	4143	222
949	4147	218
950	4150	213
951	4155	209
952	4160	205
953	4167	200
954	4172	196
955	4175	192
956	4179	187
957	4182	183
958	4187	179
959	4194	174
960	4204	170
961	4210	166
962	4215	161
963	4220	157
964	4224	153
965	4228	148
966	4231	144
967	4235	140
968	4239	135
969	4242	131
970	4245	126
971	4248	122
972	4252	117
973	4255	113
974	4257	109
975	4260	104
976	4262	100
977	4266	95
978	4269	91
979	4272	87
980	4275	82
981	4279	78
982	4283	74
983	4287	69
984	4291	65
985	4295	60
986	4300	56
987	4307	52
988	4311	47
989	4317	43
990	4322	39
991	4325	34
992	4328	30
993	4333	26
994	4336	21
995	4339	17
996	4343	13
997	4346	8
998	4349	4
999	4353	0
